instance family mcis-fc-induced
si2_m4Dr4_m1296.07 6 1e8
si2_m4Dr4_m1296.03 6 1e8
si2_m4Dr4_m1296.05 6 1e8
si2_m4Dr4_m1296.06 6 1e8
si2_m4Dr4_m1296.04 6 1e8
si2_m4Dr4_m1296.09 6 1e8
si2_m4Dr4_m1296.01 6 1e8
si2_m4Dr4_m1296.00 6 1e8
si2_m4Dr4_m1296.02 6 1e8
si6_m4Dr6_m1296.02 6 1e8
si6_m4Dr6_m1296.08 6 1e8
si6_m4Dr6_m1296.07 6 1e8
si6_m4Dr6_m1296.06 6 1e8
si6_m4Dr6_m1296.03 6 1e8
si6_m4Dr6_m1296.04 6 1e8
si6_m4Dr6_m1296.05 6 1e8
si6_m4Dr6_m1296.00 6 1e8
si6_m4Dr6_m1296.09 6 1e8
si6_m4Dr6_m1296.01 6 1e8
si4_m4Dr2_m256.00 6 1000.000122
si4_m4Dr2_m256.01 6 1000.000061
si4_m4Dr2_m256.05 6 1000.000122
si4_m4Dr2_m256.04 6 1000.000244
si4_m4Dr2_m256.08 6 1000.000061
si4_m4Dr2_m256.07 6 13.378692
si4_m4Dr2_m256.06 6 1000.000122
si4_m4Dr2_m256.02 6 11.823303
si4_m4Dr2_m256.09 6 13.067881
si4_m4Dr2_m256.03 6 1000.000122
si4_b09m_m200.01 4 4.417798
si4_b09m_m200.00 4 1000.000061
si4_b09m_m200.03 4 1000.000061
si4_b09m_m200.06 4 1000.000061
si4_b09m_m200.02 4 4.371626
si4_b09m_m200.04 4 4.761157
si4_b09m_m200.05 4 4.238955
si4_b09m_m200.07 4 1000.000061
si4_b09m_m200.08 4 4.326200
si4_b09m_m200.09 4 1000.000061
si4_m4Dr4_m625.07 6 1e8
si4_m4Dr4_m625.05 6 1e8
si4_m4Dr4_m625.01 6 1e8
si4_m4Dr4_m625.08 6 1e8
si4_m4Dr4_m625.09 6 1e8
si4_m4Dr4_m625.00 6 1e8
si4_m4Dr4_m625.04 6 1e8
si4_m4Dr4_m625.06 6 1e8
si4_m4Dr4_m625.03 6 1e8
si4_m4Dr4_m625.02 6 1e8
si4_m4Dr4_m1296.03 6 1e8
si4_m4Dr4_m1296.01 6 1e8
si4_m4Dr4_m1296.00 6 1e8
si4_m4Dr4_m1296.07 6 1e8
si4_m4Dr4_m1296.02 6 1e8
si4_m4Dr4_m1296.04 6 1e8
si4_m4Dr4_m1296.09 6 1e8
si4_m4Dr4_m1296.06 6 1e8
si4_m4Dr4_m1296.08 6 1e8
si4_m4Dr4_m1296.05 6 1e8
si2_r005_m400.05 7 1000.000061
si2_r005_m400.06 7 1000.000061
si2_r005_m400.08 7 1000.000061
si2_r005_m400.02 7 1000.000061
si2_r005_m400.03 7 1000.000061
si2_r005_m400.00 7 1000.000061
si2_r005_m400.07 7 1000.000061
si2_r005_m400.09 7 1000.000061
si2_r005_m400.04 7 1000.000061
si2_r005_m400.01 7 1000.000061
si2_b06m_m400.03 4 1000.000183
si2_b06m_m400.06 4 1000.000122
si2_b06m_m400.05 4 1000.000061
si2_b06m_m400.01 4 23.261492
si2_b06m_m400.00 4 1000.000061
si2_b06m_m400.08 4 1000.000061
si2_b06m_m400.07 4 1000.000061
si2_b06m_m400.09 4 1000.000122
si2_b06m_m400.04 4 1000.000122
si2_b06m_m400.02 4 1000.000061
si6_r005_m600.02 7 1e8
si6_r005_m600.08 7 1e8
si6_r005_m600.03 7 1e8
si6_r005_m600.05 7 1e8
si6_r005_m600.07 7 1e8
si6_r005_m600.04 7 1e8
si6_r005_m600.06 7 1e8
si6_r005_m600.01 7 1e8
si6_r005_m600.09 7 1e8
si6_r005_m600.00 7 1e8
si6_r005_m200.02 7 1000.000061
si6_r005_m200.08 7 1000.000061
si6_r005_m200.09 7 1000.000061
si6_r005_m200.05 7 1000.000061
si6_r005_m200.03 7 1000.000061
si6_r005_m200.00 7 1000.000061
si6_r005_m200.04 7 1000.000061
si6_r005_m200.07 7 1000.000061
si6_r005_m200.01 7 1000.000061
si6_r005_m200.06 7 1000.000061
si2_m4Dr6_m625.06 6 1000.000427
si2_m4Dr6_m625.08 6 1000.000305
si2_m4Dr6_m625.07 6 1000.000305
si2_m4Dr6_m625.03 6 1000.000122
si2_m4Dr6_m625.04 6 1000.000305
si2_m4Dr6_m625.05 6 1000.000000
si2_m4Dr6_m625.09 6 1000.000061
si2_m4Dr6_m625.01 6 1000.000305
si2_m4Dr6_m625.02 6 1000.000061
si2_m4Dr6_m625.00 6 1000.000244
si6_b03_m800.02 3 1e8
si6_b03_m800.04 3 1e8
si6_b03_m800.03 3 1e8
si6_b03_m800.05 3 1e8
si6_b03_m800.06 3 1e8
si6_b03_m800.01 3 1e8
