instance family cp
mcs30_b06m_s30_AB07 0 200.413528
mcs30_b06m_s30_AB08 0 76.138290
mcs30_b06m_s30_AB09 0 161.227402
mcs30_b06m_s35_AB00 0 1000.000000
mcs30_b06m_s35_AB01 0 1000.000000
mcs30_b06m_s35_AB02 0 1000.000000
mcs30_b06m_s35_AB03 0 913.044189
mcs30_b06m_s35_AB04 0 1000.000000
mcs30_b06m_s35_AB05 0 1000.000000
mcs30_b06m_s35_AB06 0 1000.000000
mcs30_b06m_s35_AB07 0 1000.000000
mcs30_b06m_s35_AB08 0 1000.000000
mcs30_b06m_s35_AB09 0 1000.000000
mcs30_b06m_s40_AB00 0 1000.000000
mcs30_b06m_s40_AB01 0 1000.000000
mcs30_b06m_s40_AB02 0 1000.000000
mcs30_b06m_s40_AB03 0 1000.000000
mcs30_b06m_s40_AB04 0 1000.000000
mcs30_b06m_s40_AB05 0 1000.000000
mcs30_b06m_s40_AB06 0 1000.000000
mcs30_b06m_s40_AB07 0 1000.000000
mcs30_b06m_s40_AB08 0 1000.000000
mcs30_b06m_s40_AB09 0 1000.000000
mcs30_b06m_s50_AB00 0 1000.000000
mcs30_b06m_s50_AB01 0 1000.000061
mcs30_b06m_s50_AB02 0 1000.000000
mcs30_b06m_s50_AB03 0 1000.000061
mcs30_b06m_s50_AB04 0 1000.000000
mcs30_b06m_s50_AB05 0 1000.000061
mcs30_b06m_s50_AB06 0 1000.000000
mcs30_b06m_s50_AB07 0 1000.000000
mcs30_b06m_s50_AB08 0 1000.000000
mcs30_b06m_s50_AB09 0 1000.000000
mcs30_b09_s35_AB00 0 1000.000000
mcs30_b09_s35_AB01 0 1000.000000
mcs30_b09_s35_AB02 0 1000.000000
mcs30_b09_s35_AB03 0 826.159973
mcs30_b09_s35_AB04 0 1000.000000
mcs30_b09_s35_AB05 0 1000.000000
mcs30_b09_s35_AB06 0 1000.000000
mcs30_b09_s35_AB07 0 1000.000000
mcs30_b09_s35_AB08 0 664.935181
mcs30_b09_s35_AB09 0 1000.000000
mcs30_b09_s40_AB00 0 1000.000000
mcs30_b09_s40_AB01 0 1000.000000
mcs30_b09_s40_AB02 0 1000.000000
mcs30_b09_s40_AB03 0 1000.000000
mcs30_b09_s40_AB04 0 1000.000000
mcs30_b09_s40_AB05 0 1000.000000
mcs30_b09_s40_AB06 0 1000.000000
mcs30_b09_s40_AB07 0 1000.000000
mcs30_b09_s40_AB08 0 1000.000000
mcs30_b09_s40_AB09 0 1000.000000
mcs30_b09_s50_AB00 0 1000.000000
mcs30_b09_s50_AB01 0 1000.000000
mcs30_b09_s50_AB02 0 1000.000000
mcs30_b09_s50_AB03 0 1000.000000
mcs30_b09_s50_AB04 0 1000.000000
mcs30_b09_s50_AB05 0 1000.000000
mcs30_b09_s50_AB06 0 1000.000061
mcs30_b09_s50_AB07 0 1000.000000
mcs30_b09_s50_AB08 0 1000.000000
mcs30_b09_s50_AB09 0 1000.000000
mcs30_b09m_s35_AB00 0 1000.000000
mcs30_b09m_s35_AB01 0 1000.000000
mcs30_b09m_s35_AB02 0 1000.000000
mcs30_b09m_s35_AB03 0 1000.000000
mcs30_b09m_s35_AB04 0 1000.000000
mcs30_b09m_s35_AB05 0 1000.000000
mcs30_b09m_s35_AB06 0 1000.000000
mcs30_b09m_s35_AB07 0 1000.000000
mcs30_b09m_s35_AB08 0 1000.000000
mcs30_b09m_s35_AB09 0 1000.000000
mcs30_b09m_s40_AB00 0 1000.000000
mcs30_b09m_s40_AB01 0 1000.000000
mcs30_b09m_s40_AB02 0 1000.000000
mcs30_b09m_s40_AB03 0 1000.000000
mcs30_b09m_s40_AB04 0 1000.000061
mcs30_b09m_s40_AB05 0 1000.000000
mcs30_b09m_s40_AB06 0 1000.000000
mcs30_b09m_s40_AB07 0 1000.000000
mcs30_b09m_s40_AB08 0 1000.000000
mcs30_b09m_s40_AB09 0 1000.000000
mcs30_b09m_s50_AB00 0 1000.000000
mcs30_b09m_s50_AB01 0 1000.000000
mcs30_b09m_s50_AB02 0 1000.000000
mcs30_b09m_s50_AB03 0 1000.000000
mcs30_b09m_s50_AB04 0 1000.000000
mcs30_b09m_s50_AB05 0 1000.000061
mcs30_b09m_s50_AB06 0 1000.000000
mcs30_b09m_s50_AB07 0 1000.000000
mcs30_b09m_s50_AB08 0 1000.000000
mcs30_b09m_s50_AB09 0 1000.000000
mcs30_m2D_s30_AB00 0 104.819229
