instance clique cp-fc kdown james-cpp-max james-cpp-max-down kdown-par/t32
si2_r005_m200.04 1000003 1000.000061 164 1000000 91 16
si2_r005_m200.09 1000003 1000.000061 303 1000000 75 37
si2_r005_m200.06 1000003 1000.000061 378 1000000 21 56
si2_r005_m200.00 1000003 1000.000000 1545 1000000 107 172
si2_r005_m200.07 1000003 1000.000061 136 1000000 52 20
si4_b03m_m400.03 1e6 1000.000427 122 1000001 2 30
si4_b03m_m400.09 1e6 1000.000366 147 1000001 3 25
si4_b03m_m400.08 1e6 1000.000305 131 1000001 2 25
si4_b03m_m400.04 1e6 1000.000366 103 1000001 2 24
si4_b03m_m400.00 1e6 1000.000305 105 1000000 2 26
si4_b03m_m400.01 1e6 1000.000366 105 1000001 2 28
si4_b03m_m400.07 1e6 1000.000305 136 1000001 3 25
si4_b03m_m400.02 1e6 1000.000305 181 1000000 3 28
si4_b03m_m400.06 1e6 1000.000427 126 1000001 2 26
si4_b03m_m400.05 1e6 1000.000305 100 1000000 2 25
si2_r01_m600.01 1e6 1000.000366 1000000 1000003 6213 180250
si2_r01_m600.06 1e6 1000.000061 1000000 1000003 20617 151259
si2_r01_m600.09 1e6 1000.000061 1000000 1000003 47716 924304
si2_r01_m600.08 1e6 1000.000061 1000000 1000003 87497 431405
si2_r01_m600.04 1e6 1000.000061 1000000 1000003 18577 243036
si2_r01_m600.02 1e6 1000.000061 1000000 1000003 23674 414417
si2_r01_m600.00 1e6 1000.000061 1000000 1000004 11724 1000002
si2_r01_m600.07 1e6 1000.000061 1000000 1000003 7496 342340
si2_r01_m600.03 1e6 1000.000061 1000000 1000003 11446 368366
si2_r01_m600.05 1e6 1000.000061 1000000 1000003 15918 247294
si4_m4Dr6_m256.01 1e6 1000.000122 44 1000000 1 13
si4_m4Dr6_m256.00 1e6 13.680401 68 1000000 4 14
si4_m4Dr6_m256.05 1e6 1000.000000 52 1000000 5 15
si4_m4Dr6_m256.08 1e6 1000.000122 76 1000000 3 17
si4_m4Dr6_m256.03 1e6 1000.000000 66 1000000 1 13
si4_m4Dr6_m256.06 1e6 1000.000122 70 1000000 2 15
si4_m4Dr6_m256.09 1e6 1000.000244 75 1000000 1 14
si4_m4Dr6_m256.07 1e6 1000.000122 59 1000000 17 17
si4_m4Dr6_m256.02 1e6 1000.000122 44 1000000 1 13
si4_m4Dr6_m256.04 1e6 12.314183 75 1000000 2 16
si2_b03m_m400.02 1e6 1000.000122 74 1000000 5 17
