instance clique cp-fc cp-mac james-cpp-max
mcs10_m2Dr4_s60_AB02 2904 189.753708 165.705856 3917
mcs10_m2Dr4_s60_AB03 1426 73.396675 67.059540 2255
mcs10_m2Dr4_s60_AB04 240 35.800713 28.313637 628
mcs10_m2Dr4_s60_AB05 732 1000.000000 979.481018 13379
mcs10_m2Dr4_s60_AB06 181 29.269049 25.360941 1167
mcs10_m2Dr4_s60_AB07 603 143.036346 131.235046 2926
mcs10_m2Dr4_s60_AB08 498 73.855782 71.819183 2258
mcs10_m2Dr4_s60_AB09 464 425.414734 389.766968 7938
mcs10_m2Dr4_s70_AB00 28169 1000.000000 1000.000000 121985
mcs10_m2Dr4_s70_AB01 29499 1000.000000 1000.000000 311923
mcs10_m2Dr4_s70_AB02 12456 1000.000061 1000.000000 81544
mcs10_m2Dr4_s70_AB03 74628 1000.000000 1000.000000 659936
mcs10_m2Dr4_s70_AB04 22997 1000.000061 1000.000000 490538
mcs10_m2Dr4_s70_AB05 687561 1000.000000 1000.000000 70043
mcs10_m2Dr4_s70_AB06 3998 1000.000061 1000.000000 120249
mcs10_m2Dr4_s70_AB07 62965 1000.000000 1000.000000 360766
mcs10_m2Dr4_s70_AB08 417755 1000.000061 1000.000061 226535
mcs10_m2Dr4_s70_AB09 3199 1000.000000 1000.000000 51578
mcs10_m2Dr4_s80_AB00 1000000 1000.000061 1000.000000 1000000
mcs10_m2Dr4_s80_AB01 264069 1000.000061 1000.000000 1000000
mcs10_m2Dr4_s80_AB02 1000000 1000.000061 1000.000061 1000000
