instance clique james-cpp-max james-cpp-max-down clique-par/t32 cp-branching-mac cp-branching-filtering-mac cp-filtering-mac
mcs10_m2Dr2_s80_AB03 83 0 10 82 0.008918 0.050480 0.077274
mcs10_m2Dr2_s80_AB04 80 0 10 75 0.007695 0.031945 0.037718
mcs10_m2Dr2_s80_AB05 69 0 11 67 0.008725 0.045275 0.056599
mcs10_m2Dr2_s80_AB06 83 0 13 81 0.008932 0.050092 0.061623
mcs10_m2Dr2_s80_AB07 76 0 13 75 0.008867 0.052069 0.060284
mcs10_m2Dr2_s80_AB08 79 0 11 82 0.008150 0.034532 0.034697
mcs10_m2Dr2_s80_AB09 72 0 10 70 0.007860 0.044465 0.056068
mcs10_m2Dr2_s90_AB00 138 1 27 138 0.012754 0.077401 0.121295
mcs10_m2Dr2_s90_AB01 150 0 20 144 0.012470 0.067851 0.090055
mcs10_m2Dr2_s90_AB02 124 0 15 120 0.011563 0.062638 0.089358
mcs10_m2Dr2_s90_AB03 129 0 23 119 0.013908 0.087573 0.129661
mcs10_m2Dr2_s90_AB04 155 0 13 145 0.012652 0.064193 0.082668
mcs10_m2Dr2_s90_AB05 128 0 12 125 0.010827 0.052238 0.063108
mcs10_m2Dr2_s90_AB06 126 0 15 129 0.011200 0.066361 0.080383
mcs10_m2Dr2_s90_AB07 129 0 18 127 0.011951 0.069618 0.083713
mcs10_m2Dr2_s90_AB08 130 0 17 120 0.011876 0.062834 0.072924
mcs10_m2Dr2_s90_AB09 142 0 19 136 0.012279 0.065174 0.071955
